,business_id,ambiance_score,atmosphere_score,dessert_score,drinks_score,entertainment_score,experience_score,food_score,food_portion_score,kid_friendly_score,location_score,noise_level_score,price_score,seating_score,service_score,setting_score,space_score,waiting_time_score,Restaurants_good_for_groups_owner_provided,good_for_kids_owner_provided,restaurant_is_expensive_owner_provided,noise_level_owner_provided
34,18eWJFJbXyR9j_5xfcRLYA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
35,1Du1NruqJwxnzgEUHc42Jw,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Positive,No mention,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,Positive,Negative,Positive
36,1FURjeGJi_LBXcJQg8eskw,Positive,Positive,No mention,No mention,Positive,Positive,Positive,No mention,Positive,Positive,No mention,Positive,Positive,No mention,Positive,Positive,Positive,Positive,Positive,Negative,Positive
37,1U8Kt44FIkC7RnJsNjaMTA,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention
38,1l4-uhraQzNiRjppKyMUUQ,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Positive,Positive,No mention,No mention,Negative,Positive
39,1pd4VYTww1UWDVai2r2RKg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,Positive,Negative,No mention
40,1rC0hBT49gVljFQYTIGIaA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Negative,Negative
41,23OxrUaCvvVrwSa1z3xG-w,No mention,Positive,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,No mention
42,27zlxlmlQu9KBr5Vj4MGeg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
43,29YqJwOGEuAWqlHZxMc1OA,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention,Positive,Positive,Positive,Positive,Negative,Positive
44,29t8lDBLiwkEd1HA356dOw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Negative,Negative,Positive,Positive,Negative,Positive
45,2DBo3WFKwpbtl9kJzuroIg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
46,2GiqDUNiTt5__ixRbzbqFw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Positive,Positive,Negative,Negative
47,2QvkOHC-pWGiAmvQ9xX64Q,Positive,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
48,2RtyOlU9mwyVisvgOECaDA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
49,2T7622XwGOhJf7O4ND_XBA,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Negative
50,2YnQAJdeFrcgPa8MqIYcDg,No mention,Positive,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive
51,2bxZhBk8JZkJ1GqfTB0cUQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,Positive,Negative,Positive
52,2l-spLLGUzRiZg8dF623Nw,Positive,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
53,2nk4hq2oRfym8ROQ5iS47g,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Negative,Negative,Negative
54,2pBNVsJo3a3CPbInUu9lvQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Negative,Positive,Negative,Positive
55,2swMZVA832zkmdPBrddPRQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Negative,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
56,2xxkaRy7rP5EUyjFt2J5kA,No mention,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Positive,Positive,No mention,No mention,Positive,Positive,Negative,Positive
57,34Eqv8jXgxg_EEwcsNgeeg,No mention,No mention,No mention,No mention,No mention,Negative,Positive,No mention,No mention,No mention,No mention,Negative,Negative,No mention,No mention,No mention,Negative,Positive,Positive,Negative,Positive
58,3DSgJFIaXjdknbZn3LSnPQ,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,Negative,Positive
59,3GcXSZQ65Np5N1N4a-DK_w,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,No mention,No mention,Positive,Positive,Negative,Positive
60,3KI0WnM1_lnY4QPRtT5O8A,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention
61,3Wy21heeDm8h2tSZfcj6OA,Positive,Positive,No mention,Positive,Positive,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Negative
62,3bZADX_g9efvqGXaAY7Kbg,No mention,Neutral,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Neutral,Negative,Positive,Positive,Negative,Positive
63,3fpAmsSuEFNF29UUPpgwlw,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Negative,No mention
64,3hv0_BFbB32m_hay8zxfJg,No mention,No mention,No mention,Positive,Positive,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention
65,3lty2YUwjp61iUqNgKVEMw,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
66,3xJ_6qxRA0sdUm3ThCPiCw,No mention,No mention,Negative,No mention,No mention,No mention,Positive,Negative,No mention,No mention,No mention,Negative,No mention,Neutral,No mention,No mention,No mention,Positive,Negative,Negative,Positive
67,45D7B9CqiUTTPUFcqmLx5Q,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,Positive,No mention,No mention,Positive,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
68,45Ut-AN8h3c88-pYTrGBnA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
69,4D7QDfPOsSPfKxBi3gs_qQ,Positive,Positive,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,Positive,Positive,Negative,Positive
70,4NozMd-0ufrS7sUZ95948w,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
71,4VW4_ghjdYw0Wl40Voa9cw,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
72,4a_3ninzpidm2MwMcdRJ-g,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
73,4ejnTeRzv8z102DBIWjQLg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
74,4kfbEcAMepvkjt3H7INYBg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Negative,Positive
75,4uspKB1d3pGdgjOClA-UkQ,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
76,4uvrTtarN40WJHOtqxszgg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention
77,54oLdsGU9B8HxFTqCCqV-A,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Negative,No mention,Positive,No mention,No mention,No mention,Negative,Positive,Negative,Positive
78,5B-m3Nir02zheQnEGopV0w,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
79,5RsVAkDnMrcSbErS6P1eew,Positive,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,No mention
80,5Z7HXqp22lSiN0Q8iF94hQ,No mention,No mention,No mention,No mention,No mention,Positive,Negative,No mention,No mention,No mention,No mention,No mention,Negative,Neutral,No mention,Negative,No mention,Positive,Positive,Negative,No mention
81,5lGOPqwxBNR9hfA9mFr2vA,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Negative,Negative,Negative
82,5p_14QRkLFd6QyhpPzfW3A,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,No mention
83,5pyYBpuNOAqgN9nSpk8vaQ,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,Negative,No mention,No mention,No mention,No mention,No mention,Negative,Positive,Negative,Negative,Negative
84,5t5fKwgnfaT-ScmfTcxwHg,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,Negative,Positive
85,5uNCvNy9L6peKeKP1RRPyg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
86,5uS6ae15iFVUN3OdEiMJnw,No mention,No mention,No mention,No mention,Positive,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention
87,5vObJIHLO-QOMrw_MvC4rA,No mention,No mention,No mention,Positive,No mention,Positive,Positive,No mention,No mention,Neutral,No mention,Positive,No mention,Neutral,No mention,Positive,Positive,Positive,Positive,Negative,Positive
88,6-mMTVEsBAoyXaJxwUULmQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,No mention
89,64Rl3pT4Md4-8ckeaNVZCQ,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,Negative,No mention,No mention,Positive,Negative,No mention,No mention,No mention,Positive,Positive,Negative,Positive
90,69_5ZefofuhXv2ymn-xc9A,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
91,6E9KjyDAdL_vDQCWwhj_KA,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,No mention,Positive,Positive,Negative,Positive
92,6EPPtwJR1kdIfHiCjzCzuw,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Negative,No mention,Neutral,No mention,No mention,No mention,Positive,Positive,Negative,Positive
93,6EizP0XyqITuGZ8GZMI9Lw,No mention,Positive,Positive,Positive,No mention,Positive,Positive,No mention,No mention,Positive,No mention,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive
94,6HTGlttrzCMsuGBHO1ZGiw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,Negative,Positive,Negative,Positive,Positive
95,6KtMnjvgO1F79P7tCnEKOA,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Negative,Positive
96,6RBZfirnzE4NahJTn1UPNA,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,Positive,No mention,No mention,Positive,Positive,No mention,Positive,Positive,Negative,Positive
97,6TciI6uBdrd8z1av1YleLg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
98,6VVbLYay8czrjKJ4xRoTxQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,Positive,Negative,Positive
99,6aUb_f9C7a2oOxaIfRGSdA,No mention,Negative,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,No mention,Negative,Positive,Positive,Negative,Positive
100,6kPHr6gZaU9732ptn9gJrA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Negative,No mention,Positive,No mention,No mention,Positive,Positive,No mention,Positive,Positive,Negative,Positive
101,6smGb7xv5fDbBsLgW1WC2w,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Negative,No mention,Positive,No mention,No mention,Negative,Negative,Positive,Negative,Positive
102,6wPNzf-HzS-TDt6CjI_LSg,Positive,No mention,No mention,No mention,No mention,Positive,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,Negative,Negative,No mention
103,7grEnJV48N6BxbEP3uxISA,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Negative,No mention
104,7kLn2XsFwyJ-yFn4qx40TQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention
105,7m6idmLldXnI9gwomgESgQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,No mention
106,7v0y0ugH4r0lLp7z4Z6bsg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Neutral,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Negative,No mention
107,7wSnkgOORRCqVDa_n8Upxg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Positive,Negative,Positive
108,7wcHZ80HLJVwUijAH_efJQ,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,Positive,Positive,Negative,Positive
109,7yR4oQcapZBKCkRLB3Isig,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,Positive
110,8-ZExybRuyyXZf6aESgc3g,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,Negative,No mention
111,8A5LSwsKK5vXDH1M3_Tf1w,Positive,Negative,No mention,No mention,No mention,No mention,Negative,Positive,No mention,Neutral,No mention,Negative,No mention,Neutral,No mention,Neutral,No mention,No mention,No mention,Positive,No mention
112,8Lbz0hfE4MWzd7yDu9atBA,No mention,No mention,Positive,No mention,Positive,Positive,Positive,No mention,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,No mention,Positive,Negative,Negative,Positive
113,8MoqZqlNN9AXzG91_Hpc_Q,No mention,Positive,No mention,No mention,Positive,No mention,Neutral,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,No mention,Positive,Positive,Negative,Positive
114,8Npqlzl494AIMX_4pP4MJw,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,Negative,Negative,No mention
115,8QvcM8Nvwite-DOgdYllOw,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
116,8RlO6NuhWzXktp-1croq5A,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,Positive,No mention,No mention,Positive,Positive,Negative,Positive
117,8Vo6LN9gqULhXzoxj5k6kQ,No mention,Positive,Positive,Positive,Positive,Positive,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,Positive,Positive,Negative,Negative,Positive
118,8_r9EZL6vX5fPBoVh3gUrA,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Negative,Positive,Positive,No mention,Positive,Positive,Negative,Positive
119,8lhyqiOAFjIipheDtk8gXA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention
120,8qGe4GQYyZstFhYa0rvpIg,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Negative,No mention,Positive,Positive,Negative,Negative
121,8vMULlBjFJyS_836tOKnVQ,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,No mention,No mention,No mention,Negative,No mention
122,9CBW1G-JR9ioTgwFTK6kbQ,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Negative,Positive,Negative,Negative
123,9D1Vuxuh-hvwkYBrqje1nA,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,No mention,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
124,9Ujw_PoR_Vv67gf4vsAk-g,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,Positive,Negative,Positive
125,9_uigKs9GCwg9dFKkq_Kfg,Positive,No mention,No mention,No mention,No mention,No mention,No mention,No mention,No mention,Positive,No mention,Positive,No mention,No mention,Positive,Positive,No mention,No mention,No mention,Negative,No mention
